# zone	layer	ring	cuts(dphi)	cuts(nStrips)
bar	0	0	-5.15,5.15	-11,46
bar	0	1	-5.15,5.15	-11,46
bar	0	2	-5.15,5.15	-11,46
bar	0	3	-5.15,5.15	-11,46
bar	0	4	-2.85,2.85	2,33
bar	0	5	-2.85,2.85	2,33
bar	0	6	-2.85,2.85	2,33
bar	0	7	-2.85,2.85	2,33
bar	0	8	-5.70,5.70	-14,49
bar	0	9	-5.70,5.70	-14,49
bar	0	10	-5.70,5.70	-14,49
bar	0	11	-3.30,3.30	-1,35
bar	0	12	-3.30,3.30	-1,35
bar	0	13	-3.30,3.30	-1,35
bar	0	-1	-5.15,5.15	-11,46
bar	0	-2	-5.15,5.15	-11,46
bar	0	-3	-5.15,5.15	-11,46
bar	0	-4	-5.15,5.15	-11,46
bar	0	-5	-2.85,2.85	2,33
bar	0	-6	-2.85,2.85	2,33
bar	0	-7	-2.85,2.85	2,33
bar	0	-8	-2.85,2.85	2,33
bar	0	-9	-5.70,5.70	-14,49
bar	0	-10	-5.70,5.70	-14,49
bar	0	-11	-5.70,5.70	-14,49
bar	0	-12	-3.30,3.30	-1,35
bar	0	-13	-3.30,3.30	-1,35
bar	0	-14	-3.30,3.30	-1,35
bar	1	0	-2.85,2.85	-5,38
bar	1	1	-2.85,2.85	-5,38
bar	1	2	-2.85,2.85	-5,38
bar	1	3	-2.85,2.85	-5,38
bar	1	4	-2.70,2.70	-4,37
bar	1	5	-2.70,2.70	-4,37
bar	1	6	-2.70,2.70	-4,37
bar	1	7	-2.70,2.70	-4,37
bar	1	8	-2.45,2.45	-2,35
bar	1	9	-2.45,2.45	-2,35
bar	1	10	-2.45,2.45	-2,35
bar	1	11	-2.50,2.50	-2,36
bar	1	12	-2.50,2.50	-2,36
bar	1	13	-2.50,2.50	-2,36
bar	1	-1	-2.85,2.85	-5,38
bar	1	-2	-2.85,2.85	-5,38
bar	1	-3	-2.85,2.85	-5,38
bar	1	-4	-2.85,2.85	-5,38
bar	1	-5	-2.70,2.70	-4,37
bar	1	-6	-2.70,2.70	-4,37
bar	1	-7	-2.70,2.70	-4,37
bar	1	-8	-2.70,2.70	-4,37
bar	1	-9	-2.45,2.45	-2,35
bar	1	-10	-2.45,2.45	-2,35
bar	1	-11	-2.45,2.45	-2,35
bar	1	-12	-2.50,2.50	-2,36
bar	1	-13	-2.50,2.50	-2,36
bar	1	-14	-2.50,2.50	-2,36
bar	2	0	-3.30,3.30	-19,49
bar	2	1	-3.30,3.30	-19,49
bar	2	2	-3.30,3.30	-19,49
bar	2	3	-3.30,3.30	-19,49
bar	2	4	-3.30,3.30	-19,49
bar	2	5	-3.30,3.30	-19,49
bar	2	6	-3.30,3.30	-19,49
bar	2	7	-3.30,3.30	-19,49
bar	2	8	-3.10,3.10	-17,47
bar	2	9	-3.10,3.10	-17,47
bar	2	10	-3.10,3.10	-17,47
bar	2	11	-2.80,2.80	-14,44
bar	2	12	-2.80,2.80	-14,44
bar	2	13	-2.80,2.80	-14,44
bar	2	-1	-3.30,3.30	-19,49
bar	2	-2	-3.30,3.30	-19,49
bar	2	-3	-3.30,3.30	-19,49
bar	2	-4	-3.30,3.30	-19,49
bar	2	-5	-3.30,3.30	-19,49
bar	2	-6	-3.30,3.30	-19,49
bar	2	-7	-3.30,3.30	-19,49
bar	2	-8	-3.30,3.30	-19,49
bar	2	-9	-3.10,3.10	-17,47
bar	2	-10	-3.10,3.10	-17,47
bar	2	-11	-3.10,3.10	-17,47
bar	2	-12	-2.80,2.80	-14,44
bar	2	-13	-2.80,2.80	-14,44
bar	2	-14	-2.80,2.80	-14,44
bar	3	0	-3.00,3.00	-25,55
bar	3	1	-3.00,3.00	-25,55
bar	3	2	-3.00,3.00	-25,55
bar	3	3	-3.00,3.00	-25,55
bar	3	4	-2.95,2.95	-25,55
bar	3	5	-2.95,2.95	-25,55
bar	3	6	-2.95,2.95	-25,55
bar	3	7	-2.95,2.95	-25,55
bar	3	8	-2.95,2.95	-25,55
bar	3	9	-2.95,2.95	-25,55
bar	3	10	-2.95,2.95	-25,55
bar	3	11	-2.70,2.70	-21,51
bar	3	12	-2.70,2.70	-21,51
bar	3	13	-2.70,2.70	-21,51
bar	3	-1	-3.00,3.00	-25,55
bar	3	-2	-3.00,3.00	-25,55
bar	3	-3	-3.00,3.00	-25,55
bar	3	-4	-3.00,3.00	-25,55
bar	3	-5	-2.95,2.95	-25,55
bar	3	-6	-2.95,2.95	-25,55
bar	3	-7	-2.95,2.95	-25,55
bar	3	-8	-2.95,2.95	-25,55
bar	3	-9	-2.95,2.95	-25,55
bar	3	-10	-2.95,2.95	-25,55
bar	3	-11	-2.95,2.95	-25,55
bar	3	-12	-2.70,2.70	-21,51
bar	3	-13	-2.70,2.70	-21,51
bar	3	-14	-2.70,2.70	-21,51
EC+	0	0	-1.65,1.65	-9,9
EC+	0	1	-1.50,1.50	-11,11
EC+	0	2	-1.65,1.65	-13,13
EC+	0	3	-1.65,1.65	-15,15
EC+	0	4	-2.15,2.15	-22,22
EC+	0	5	-2.25,2.25	-26,26
EC+	1	0	-1.60,1.60	-8,8
EC+	1	1	-1.45,1.45	-10,10
EC+	1	2	-1.55,1.55	-12,12
EC+	1	3	-1.60,1.60	-15,15
EC+	1	4	-1.95,1.95	-20,20
EC+	1	5	-2.10,2.10	-24,24
EC+	2	0	-1.50,1.50	-8,8
EC+	2	1	-1.30,1.30	-9,9
EC+	2	2	-1.50,1.50	-12,12
EC+	2	3	-1.35,1.35	-12,12
EC+	2	4	-1.95,1.95	-20,20
EC+	2	5	-1.95,1.95	-23,23
EC+	3	0	-1.45,1.45	-8,8
EC+	3	1	-1.20,1.20	-9,9
EC+	3	2	-1.30,1.30	-10,10
EC+	3	3	-1.40,1.40	-13,13
EC+	3	4	-1.70,1.70	-18,18
EC+	3	5	-1.80,1.80	-21,21
EC+	4	0	-1.50,1.50	-8,8
EC+	4	1	-1.05,1.05	-7,7
EC+	4	2	-1.25,1.25	-10,10
EC+	4	3	-1.10,1.10	-10,10
EC+	4	4	-1.65,1.65	-17,17
EC+	4	5	-1.45,1.45	-17,17
EC+	5	0	-1.35,1.35	-7,7
EC+	5	1	-1.10,1.10	-8,8
EC+	5	2	-1.20,1.20	-9,9
EC+	5	3	-1.10,1.10	-10,10
EC+	5	4	-1.50,1.50	-16,16
EC+	5	5	-1.40,1.40	-16,16
EC-	0	0	-1.65,1.65	-9,9
EC-	0	1	-1.50,1.50	-11,11
EC-	0	2	-1.65,1.65	-13,13
EC-	0	3	-1.65,1.65	-15,15
EC-	0	4	-2.15,2.15	-22,22
EC-	0	5	-2.25,2.25	-26,26
EC-	1	0	-1.60,1.60	-8,8
EC-	1	1	-1.45,1.45	-10,10
EC-	1	2	-1.55,1.55	-12,12
EC-	1	3	-1.60,1.60	-15,15
EC-	1	4	-1.95,1.95	-20,20
EC-	1	5	-2.10,2.10	-24,24
EC-	2	0	-1.50,1.50	-8,8
EC-	2	1	-1.30,1.30	-9,9
EC-	2	2	-1.50,1.50	-12,12
EC-	2	3	-1.35,1.35	-12,12
EC-	2	4	-1.95,1.95	-20,20
EC-	2	5	-1.95,1.95	-23,23
EC-	3	0	-1.45,1.45	-8,8
EC-	3	1	-1.20,1.20	-9,9
EC-	3	2	-1.30,1.30	-10,10
EC-	3	3	-1.40,1.40	-13,13
EC-	3	4	-1.70,1.70	-18,18
EC-	3	5	-1.80,1.80	-21,21
EC-	4	0	-1.50,1.50	-8,8
EC-	4	1	-1.05,1.05	-7,7
EC-	4	2	-1.25,1.25	-10,10
EC-	4	3	-1.10,1.10	-10,10
EC-	4	4	-1.65,1.65	-17,17
EC-	4	5	-1.45,1.45	-17,17
EC-	5	0	-1.35,1.35	-7,7
EC-	5	1	-1.10,1.10	-8,8
EC-	5	2	-1.20,1.20	-9,9
EC-	5	3	-1.10,1.10	-10,10
EC-	5	4	-1.50,1.50	-16,16
EC-	5	5	-1.40,1.40	-16,16
