event layer r x y z
0 0 291.515 274.477 98.2023 158.279
0 1 398.746 372.113 143.284 183.698
0 2 558.485 516.394 212.702 208.765
0 3 565.125 522.39 215.579 208.814
0 4 761.679 698.472 303.797 269.63
0 5 768.61 704.239 307.91 268.876
0 6 1004.58 913.363 418.271 319.87
0 7 1011.56 919.017 422.682 317.864
1 1 395.205 335.792 208.4 159.118
1 2 552.401 488.301 258.281 182.441
1 3 558.656 494.58 259.783 184.351
1 4 765.916 695.203 321.434 221.713
1 5 772.219 701.456 322.926 220.095
1 6 997.361 920.205 384.645 269.361
1 7 1003.76 926.396 386.417 269.21
2 1 404.537 324.094 242.102 86.2374
2 2 561.946 471.497 305.734 111.176
2 3 568.284 477.414 308.257 134.631
2 4 762.868 658.549 385.073 171.765
2 4 763.29 658.022 386.805 171.812
2 4 763.93 657.231 389.405 171.883
2 4 767.978 652.462 405.073 172.309
2 4 769.834 650.396 411.86 172.493
2 5 768.954 664.896 386.268 170.837
2 5 769.3 664.457 387.712 170.797
2 5 769.545 664.149 388.722 170.77
2 5 769.773 663.863 389.661 170.744
2 5 770.002 663.578 390.6 170.719
2 5 770.304 663.204 391.827 170.686
2 5 774.603 658.128 408.506 170.232
2 5 775.582 657.029 412.117 170.134
2 4 764.175 656.93 390.391 221.526
2 4 765.934 654.821 397.323 221.715
2 5 769.359 664.383 387.953 220.407
2 5 770.008 663.57 390.624 220.335
2 5 770.346 663.153 391.996 220.298
2 5 770.471 662.999 392.502 220.284
2 5 772.33 660.757 399.866 220.084
2 5 757.343 641.615 402.367 172.421
2 6 1000.6 878.621 478.771 221.395
2 7 1007.1 884.469 481.633 220.394
3 2 554.031 436.868 340.73 60.5233
3 3 560.442 442.282 344.213 61.856
3 4 758.763 618.695 439.247 122.896
3 5 765.299 624.1 442.925 122.888
3 6 1001.53 831.936 557.623 171.893
3 7 1007.88 837.78 560.303 170.682
4 0 293.287 260.37 134.999 93.5525
4 1 407.777 368.711 174.167 136.122
4 1 388.051 349.859 167.877 109.619
4 2 561.515 513.859 226.382 159.511
4 3 568.035 519.956 228.714 183.042
4 4 758.826 700.87 290.859 220.904
4 5 765.252 707.054 292.722 220.894
4 6 993.741 924.117 365.415 268.85
4 7 1000.01 930.473 366.374 269.741
5 0 293.523 260.194 135.848 43.0098
5 1 389.349 346.484 177.598 60.2701
5 2 568.676 508.706 254.186 86.4376
5 3 575.346 514.688 257.136 84.2903
5 2 550.734 492.433 246.613 84.1196
5 4 770.028 692.287 337.166 124.129
5 4 751.574 675.413 329.667 121.876
5 5 758.144 681.13 332.933 123.903
5 6 990.251 894.776 424.232 170.299
5 7 996.722 900.696 426.851 123.88
6 0 293.076 273.92 104.218 0.257833
6 1 400.247 371.485 148.984 13.2718
6 2 559.088 515.867 215.547 61.224
6 3 565.735 521.859 218.448 61.1219
6 4 761.218 698.848 301.768 123.193
6 5 768.037 704.702 305.412 122.559
6 5 768.088 704.661 305.634 122.553
6 5 768.189 704.578 306.08 122.541
6 5 768.718 704.152 308.38 122.48
6 6 1002.08 915.615 407.202 171.959
6 7 1008.82 921.475 410.602 170.568
7 1 388.62 377.92 90.5687 158.127
7 2 551.233 524.234 170.402 207.647
7 3 557.876 530.161 173.65 209.923
7 4 755.373 704.056 273.667 268.833
7 5 762.184 709.878 277.483 269.681
7 6 1001.41 916.237 404.145 319.495
7 7 1008.12 922.117 407.447 318.268
8 0 290.76 283.684 63.7538 182.73
8 1 391.823 375.609 111.549 208.292
8 2 553.712 521.135 187.124 256.472
8 3 560.369 527.085 190.248 257.868
8 4 756.811 702.685 281.063 318.645
8 5 763.541 708.594 284.41 319.114
8 6 999.096 918.459 393.224 367.588
8 7 1005.61 924.53 395.588 366.966
9 1 395.714 335.042 210.563 134.986
9 2 553.883 485.093 267.34 158.5
9 3 560.332 490.91 270.147 159.874
9 4 753.764 671.581 342.256 170.601
9 5 760.16 677.599 344.534 171.971
9 6 992.13 891.439 435.496 220.221
9 7 998.728 897.137 438.864 221.554
10 0 294.508 273.443 109.38 82.7015
10 1 399.211 371.915 145.083 111.17
10 2 555.522 519.195 197.588 158.749
10 3 562.1 525.242 200.192 159.605
10 4 753.367 706.096 262.659 220.158
10 5 760.034 712.047 265.783 221.607
10 6 1006.29 945.502 344.449 270.446
10 7 1012.84 951.73 346.5 268.103
10 6 989.383 929.489 339.012 268.15
10 7 995.885 935.574 341.302 270.407
11 0 292.153 244.957 159.216 48.0515
11 1 393.617 338.267 201.27 60.9217
11 2 553.599 485.681 265.68 84.6456
11 3 560.081 491.431 268.676 86.1059
11 4 753.959 671.259 343.314 122.247
11 5 760.616 676.844 347.013 123.52
11 6 991.585 892.382 432.312 122.135
11 7 997.997 898.402 434.594 123.67
12 0 290.137 275.007 92.4684 68.1098
12 2 553.752 521.089 187.371 134.287
12 3 560.218 527.255 189.333 135.7
12 4 752.917 706.578 260.061 220.09
12 5 759.645 712.459 263.557 221.666
12 6 991.187 927.157 350.475 268.454
12 7 997.726 933.197 352.988 270.097
13 1 391.22 342.508 189.054 280.777
13 3 570.499 518.067 238.906 330.389
13 4 758.007 701.594 286.951 367.184
13 5 764.335 707.87 288.318 367.394
13 6 1006.58 945.36 345.698 418.095
13 7 1012.76 951.77 346.151 415.728
13 6 989.832 928.892 341.945 415.844
13 7 996.08 935.314 342.584 417.989
14 1 407.908 320.579 252.227 86.5161
14 2 569.482 461.713 333.363 160.321
14 2 567.678 463.897 327.197 135.959
14 2 568.088 463.393 328.62 135.999
14 2 564.612 467.819 316.121 111.462
14 2 568.288 463.149 329.308 160.209
14 2 565.141 467.122 318.09 135.708
14 3 572.171 472.098 323.269 134.216
14 3 572.249 471.998 323.553 134.209
14 3 572.139 472.141 323.15 158.411
14 3 571.074 473.543 319.19 110.137
14 3 575.423 468.034 334.747 158.091
14 3 576.579 466.657 338.636 133.792
14 3 571.81 472.569 321.941 158.445
14 3 570.904 473.77 318.55 110.155
14 4 765.451 655.392 395.445 123.664
14 5 771.665 661.548 397.267 122.154
14 6 1001.84 876.963 484.368 171.93
14 7 1008.33 882.826 487.18 170.627
15 1 390.336 376.584 102.697 -13.5642
15 2 567.869 542.283 168.534 13.786
15 3 574.663 548.642 170.967 11.7801
15 4 764.833 727.135 237.158 73.9809
15 5 771.751 733.337 240.449 72.5285
15 6 999.66 948.923 314.428 123.277
15 7 1006.46 955.017 317.655 122.474
16 0 288.579 283.489 53.9641 131.295
16 1 389.637 377.093 98.0708 158.323
16 2 570.266 542.058 177.136 210.01
16 2 551.0 524.564 168.621 207.599
16 3 557.579 530.574 171.424 209.982
16 4 752.53 706.999 257.786 268.413
16 5 759.145 713.0 260.638 270.126
16 6 993.833 924.012 365.933 366.864
16 7 1000.67 929.721 370.072 367.643
17 0 287.106 283.337 46.3656 18.4922
17 1 388.465 378.057 89.3181 35.9024
17 2 566.199 542.447 162.273 86.1982
17 3 573.107 548.794 165.156 84.5062
17 4 766.178 726.746 242.628 123.74
17 5 772.759 733.046 244.54 122.038
17 5 772.853 733.019 244.917 122.029
17 6 1004.3 946.485 335.825 172.22
17 7 1010.8 952.738 337.651 170.334
18 0 292.153 261.243 130.789 -40.2505
18 1 407.321 368.866 172.767 -11.731
18 1 387.769 350.7 165.453 -14.0726
18 2 562.65 512.974 231.156 37.4451
18 2 562.686 512.946 231.304 37.4491
18 2 562.776 512.878 231.675 37.4589
18 3 569.167 519.071 233.488 36.5324
18 4 762.967 697.445 309.337 123.393
18 5 769.656 703.409 312.388 122.374
18 5 769.779 703.313 312.907 122.36
18 5 769.832 703.271 313.13 122.354
18 6 1002.51 915.224 409.125 172.01
18 7 1009.11 921.204 411.933 170.532
19 0 288.531 264.42 115.465 -11.9005
19 1 405.065 369.651 165.639 13.7075
19 2 563.967 511.984 236.499 37.5864
19 3 571.2 517.553 241.676 60.5076
19 3 570.592 517.998 239.277 36.3793
19 3 571.061 517.654 241.132 36.3303
19 3 571.593 517.269 243.21 36.2753
19 3 571.65 517.228 243.433 36.2694
19 4 768.329 693.465 330.809 74.3441
19 5 774.934 699.494 333.512 72.1987
19 4 750.4 677.647 322.327 72.0594
19 5 756.891 683.51 325.111 74.4991
19 6 992.711 890.453 438.825 122.311
19 7 999.247 896.259 441.831 123.473
19 7 999.272 896.216 441.976 123.469
19 7 1000.19 894.694 447.114 123.33
20 0 289.088 275.442 87.7718 202.604
20 1 398.939 372.031 144.033 209.142
20 2 562.134 513.373 229.004 233.388
20 3 568.971 519.222 232.672 232.554
20 4 751.721 675.142 330.559 268.283
20 5 758.465 680.544 334.858 270.234
20 6 998.474 881.571 468.81 269.508
20 7 1005.03 887.349 471.911 269.041
21 0 288.552 264.4 115.563 197.405
21 1 406.901 369.009 171.466 234.052
21 2 567.359 509.586 249.437 282.312
21 3 574.192 515.458 252.981 280.4
21 4 754.012 671.171 343.603 318.254
21 5 760.509 677.02 346.435 319.536
21 6 999.014 880.807 471.39 417.195
21 7 1005.84 886.205 475.771 416.553
22 0 291.621 245.611 157.221 150.453
22 1 391.636 341.716 191.336 182.84
22 2 567.603 509.421 250.326 209.76
22 3 573.949 515.623 252.091 207.849
22 4 763.912 696.711 313.296 269.881
22 5 770.429 702.808 315.628 268.672
22 6 997.605 919.954 385.877 319.01
22 7 1004.04 926.105 387.848 318.788
23 0 293.89 283.926 75.8764 234.755
23 1 393.587 374.589 120.802 256.918
23 2 554.866 519.874 193.926 306.269
23 3 561.609 525.746 197.472 307.293
23 4 758.192 701.429 287.841 367.208
23 5 765.106 707.182 292.029 367.296
23 6 1001.27 916.373 403.479 417.477
23 7 1008.09 922.147 407.299 416.272
24 0 290.064 262.989 122.368 -65.4015
24 1 405.632 369.45 167.465 -36.0614
24 2 562.62 512.997 231.032 -12.3748
24 3 569.287 518.979 233.983 -13.2973
24 4 764.518 696.248 315.794 25.5636
24 5 771.246 702.185 318.992 24.1994
24 6 1005.43 912.621 421.92 74.3499
24 7 1012.23 918.436 425.542 72.1713
24 6 988.71 897.713 414.318 72.0299
24 7 995.342 903.318 417.998 74.503
25 0 288.203 264.749 113.882 244.797
25 1 405.228 369.593 166.165 282.296
25 3 570.76 517.874 239.945 330.362
25 4 766.94 694.456 325.466 368.203
25 5 773.508 700.512 328.021 366.344
25 6 1007.08 911.212 428.847 418.15
25 6 989.809 895.598 421.457 415.84
25 7 996.159 901.746 423.305 417.976
26 0 293.332 260.336 135.162 170.913
26 1 389.057 347.186 175.577 207.831
26 2 567.352 509.59 249.411 233.928
26 3 573.982 515.6 252.214 256.229
26 4 767.412 694.117 327.296 319.868
26 5 774.261 699.97 330.94 317.883
26 6 1003.94 913.93 415.486 368.179
26 7 1010.53 919.925 418.22 366.366
27 1 404.935 397.192 78.8067 160.08
27 2 559.776 543.15 135.413 183.499
27 3 566.567 549.505 137.995 183.213
27 4 759.095 728.938 211.837 220.937
27 5 765.997 735.131 215.255 220.802
27 6 998.832 949.384 310.378 221.171
27 7 1005.43 955.589 312.63 220.606
28 1 397.658 332.327 218.382 159.393
28 2 554.905 483.061 273.078 208.275
28 3 561.268 489.037 275.436 209.344
28 4 753.791 671.537 342.4 268.605
28 5 760.318 677.335 345.4 269.948
28 6 990.563 894.204 426.161 317.968
28 7 997.038 900.117 428.805 319.827
29 1 402.823 396.38 71.7587 61.8952
29 2 559.098 543.233 132.244 85.417
29 3 565.804 549.598 134.449 85.3051
29 4 757.757 729.398 205.363 122.769
29 5 764.325 735.704 207.199 123.012
29 6 994.529 951.944 287.907 170.966
29 7 1000.99 958.232 289.433 171.596
30 0 288.347 250.11 143.489 140.453
30 1 390.834 343.267 186.867 158.525
30 2 552.237 488.679 257.214 182.412
30 3 558.635 494.63 259.641 184.355
