event barcode charge pt d0
0 10001 -1 5828.54 -20.4597
1 10001 1 6103.93 83.3324
2 10001 1 59682.9 93.2002
3 10001 -1 17312.3 98.752
4 10001 1 10919.2 34.3113
5 10001 1 7495.93 3.96502
6 10001 -1 13403.1 -16.2299
7 10001 -1 5069.49 -89.8286
8 10001 1 160989.0 -74.4984
9 10001 -1 5981.89 88.7809
10 10001 1 15057.9 7.02495
11 10001 1 7208.4 39.45
12 10001 -1 13990.2 -8.97244
13 10001 1 6174.06 78.9072
14 10001 1 9051.83 95.3439
15 10001 1 5911.01 -53.9872
16 10001 -1 13150.9 -69.5174
17 10001 1 13527.6 -76.9385
18 10001 -1 5648.52 33.476
19 10001 -1 5652.69 -3.73225
20 10001 -1 5305.72 -56.0069
21 10001 -1 5442.1 -16.3546
22 10001 1 10837.6 62.1412
23 10001 -1 9942.18 -54.6201
24 10001 -1 5901.39 15.5446
25 10001 1 15301.3 -19.1705
26 10001 1 5582.92 5.45288
27 10001 -1 5184.79 -57.6835
28 10001 -1 26236.8 93.4554
29 10001 1 6953.19 -93.2785
30 10001 -1 6031.95 30.4091
31 10001 1 65555.2 18.0787
32 10001 1 31806.3 75.9649
33 10001 1 9748.61 -49.3828
34 10001 -1 24719.6 59.605
35 10001 1 5138.69 -31.387
36 10001 1 5699.08 -38.6927
37 10001 -1 9484.89 75.1689
38 10001 1 12025.2 -0.271836
39 10001 1 5464.41 -38.8493
40 10001 -1 23017.3 37.27
41 10001 -1 5969.06 4.62041
42 10001 1 8722.23 -9.21867
43 10001 -1 8058.7 -86.7744
44 10001 -1 5035.44 -56.2624
45 10001 -1 8330.38 -40.6763
46 10001 1 25331.9 44.8866
47 10001 1 7682.19 -77.0072
48 10001 -1 5795.47 69.5063
49 10001 -1 9063.66 67.139
50 10001 1 5992.61 -90.5889
51 10001 1 7633.38 30.5474
52 10001 -1 19756.2 -32.9066
53 10001 1 7715.77 -61.7978
54 10001 1 7366.06 -33.4422
55 10001 1 41031.3 -32.508
56 10001 1 7925.99 -99.4715
57 10001 -1 6863.33 -90.2109
58 10001 1 17679.7 -31.4475
59 10001 -1 44244.6 61.0023
60 10001 -1 165948.0 -22.8258
61 10001 -1 5971.95 -67.3042
62 10001 1 12951.2 -12.7539
63 10001 1 46253.9 -1.88612
64 10001 1 6926.08 59.4864
65 10001 -1 5054.4 -67.4054
66 10001 1 15171.4 69.4766
67 10001 1 25188.6 -18.8626
68 10001 -1 9131.39 79.3122
69 10001 -1 9822.44 64.1711
70 10001 -1 9003.92 -9.89216
71 10001 -1 6177.86 -37.4771
72 10001 1 5332.64 -51.0547
73 10001 1 9920.8 41.7827
74 10001 1 19213.6 25.9617
75 10001 1 5801.08 55.5626
76 10001 -1 7296.37 35.3715
77 10001 1 51304.1 -88.8176
78 10001 -1 20574.3 94.3951
79 10001 -1 95852.0 50.2869
80 10001 -1 5651.72 -28.6406
81 10001 -1 5593.55 -50.681
82 10001 -1 17036.5 59.0544
83 10001 -1 5510.77 40.8636
84 10001 1 5602.66 -0.946048
85 10001 1 5901.64 -60.1372
86 10001 -1 23047.7 56.8989
87 10001 -1 48969.1 79.8657
88 10001 -1 11357.9 -88.7499
89 10001 1 10940.7 -81.1572
90 10001 -1 8653.55 7.27895
91 10001 1 64933.7 -25.1439
92 10001 -1 17842.0 25.5474
93 10001 -1 16310.0 72.7944
94 10001 1 6164.48 51.9365
95 10001 1 7544.21 -33.9183
96 10001 -1 5301.72 51.2791
97 10001 -1 10820.1 61.8181
98 10001 1 21424.5 -14.822
99 10001 1 6844.31 96.6834
100 10001 -1 34289.3 -31.3797
101 10001 -1 9266.46 -26.6063
102 10001 -1 14213.5 -2.74169
103 10001 -1 17730.0 82.966
104 10001 -1 24636.2 -9.72778
105 10001 -1 7040.4 -34.4444
106 10001 1 9227.19 69.9183
107 10001 1 16383.5 -91.2099
108 10001 1 8912.6 47.8577
109 10001 -1 10196.2 -4.16348
110 10001 1 13442.6 73.2357
111 10001 -1 5892.61 84.0677
112 10001 1 20976.8 -35.9631
113 10001 1 9353.91 -21.2005
114 10001 -1 32815.8 -20.4528
115 10001 -1 24641.4 20.8244
116 10001 1 9580.97 -34.1755
117 10001 -1 6030.72 1.25784
118 10001 -1 8973.16 -20.6002
119 10001 -1 10533.9 64.8055
120 10001 1 298248.0 -4.81383
121 10001 1 7230.69 8.52496
122 10001 -1 5486.09 34.2983
123 10001 1 6351.44 4.35705
124 10001 -1 5817.12 -20.7031
125 10001 -1 13509.6 -23.3933
126 10001 -1 92953.0 5.11646
127 10001 1 11897.3 17.5582
128 10001 1 36369.7 83.9471
129 10001 1 9138.26 -32.704
130 10001 -1 9949.09 54.3643
131 10001 -1 8590.85 -61.94
132 10001 1 30520.2 55.6561
133 10001 -1 5344.59 7.98685
134 10001 -1 5995.51 -94.662
135 10001 1 8525.38 25.5371
136 10001 1 5411.25 -3.25448
137 10001 -1 5547.72 -2.72653
138 10001 1 9768.28 57.0964
139 10001 -1 7674.51 13.0811
140 10001 1 5514.26 -77.1768
141 10001 -1 5739.63 15.8048
142 10001 -1 12992.9 -31.3419
143 10001 1 5397.96 -97.6533
144 10001 1 59015.4 41.2521
145 10001 -1 6096.35 51.3705
146 10001 -1 6074.46 98.9114
147 10001 1 17925.0 -54.3034
148 10001 -1 8903.27 84.6093
149 10001 1 8506.07 -49.7704
150 10001 1 5526.56 81.7488
151 10001 1 51352.8 -73.8376
152 10001 -1 51896.0 78.4692
153 10001 1 20770.4 20.4325
154 10001 1 5513.58 85.8028
155 10001 -1 5669.62 -95.5419
156 10001 -1 5365.51 18.5678
157 10001 1 20714.1 -27.0657
158 10001 1 155770.0 -91.188
159 10001 -1 26166.7 27.9028
160 10001 1 6503.2 84.4974
161 10001 -1 11911.5 35.4553
162 10001 -1 5035.84 9.3348
163 10001 1 5406.02 1.52336
164 10001 -1 19012.4 30.0919
165 10001 -1 29687.3 -87.9982
166 10001 -1 8077.49 -25.2674
167 10001 -1 5942.5 37.2746
168 10001 1 5169.46 -6.68909
169 10001 -1 8231.51 -53.2391
170 10001 1 13918.0 -80.656
171 10001 1 116470.0 -89.1526
172 10001 -1 9975.31 -17.1818
173 10001 -1 15896.1 -93.4617
174 10001 -1 10172.2 34.3321
175 10001 1 9987.76 34.2041
176 10001 1 8327.66 78.2686
177 10001 1 13814.8 80.0337
178 10001 1 8732.8 67.3294
179 10001 -1 18259.0 70.3693
180 10001 -1 5356.78 -36.706
181 10001 -1 9737.32 -93.1357
182 10001 -1 14176.6 -71.9535
183 10001 1 35528.5 -35.4274
184 10001 -1 7943.24 -20.7735
185 10001 -1 18373.9 20.5498
186 10001 -1 8829.49 -94.1422
187 10001 -1 7576.47 -26.6044
188 10001 1 12157.6 -83.5259
189 10001 1 16748.2 -88.2738
190 10001 -1 5274.2 41.9705
191 10001 1 6251.77 42.114
192 10001 -1 5950.31 81.9195
193 10001 -1 13476.1 -15.7137
194 10001 1 14464.2 82.2868
195 10001 1 11140.8 -27.7255
196 10001 1 11713.5 -38.8751
197 10001 -1 15180.8 4.19946
198 10001 -1 8579.75 81.2978
199 10001 1 5539.58 74.201
200 10001 -1 16387.4 -57.5685
201 10001 1 28879.9 46.385
202 10001 1 22919.1 -79.7243
203 10001 1 5143.69 -29.0412
204 10001 1 13907.2 20.2826
205 10001 1 7738.38 -65.0394
206 10001 -1 382023.0 -80.1392
207 10001 1 5860.29 76.2856
208 10001 -1 6727.23 -85.4712
209 10001 1 52907.5 73.8208
210 10001 1 76206.3 -94.2439
211 10001 1 6282.18 71.4565
212 10001 1 16550.8 86.1882
213 10001 1 5214.35 49.6298
214 10001 1 10269.2 -27.5644
215 10001 -1 9720.5 -89.7024
216 10001 1 37221.0 50.5832
217 10001 1 7611.88 68.6413
218 10001 -1 18266.2 -61.49
219 10001 1 111008.0 45.4145
220 10001 -1 9816.26 -38.1467
221 10001 -1 10265.1 78.7322
222 10001 -1 11442.9 -44.7592
223 10001 1 5412.25 -91.0187
224 10001 1 20284.3 -59.9248
225 10001 1 5632.59 61.6123
226 10001 1 24859.4 63.3152
227 10001 -1 8964.34 -55.9318
228 10001 -1 20289.5 98.8441
229 10001 1 6487.91 7.80074
230 10001 -1 11014.9 -96.157
231 10001 -1 8289.94 -39.1379
232 10001 1 5496.57 -96.3658
233 10001 1 23243.2 67.5448
234 10001 1 9649.84 1.8781
235 10001 -1 18478.1 27.61
236 10001 1 10840.3 -84.0491
237 10001 -1 5927.65 48.0821
238 10001 -1 7724.33 -83.8165
239 10001 1 5394.2 90.8347
240 10001 -1 16690.2 -7.63796
241 10001 -1 422461.0 -41.3076
242 10001 1 20907.1 -30.2504
243 10001 1 11649.9 10.7143
244 10001 -1 29453.2 69.5213
245 10001 1 7354.1 39.7587
246 10001 -1 6291.71 -75.983
247 10001 1 6077.9 80.1142
248 10001 1 13458.2 -80.5886
249 10001 -1 7139.0 -51.5823
250 10001 1 8834.06 12.5921
251 10001 -1 5558.34 -72.2126
252 10001 1 106651.0 -73.9016
253 10001 1 7290.46 88.7005
254 10001 1 33367.9 41.9894
255 10001 1 5859.73 69.0604
256 10001 -1 22336.9 51.3037
257 10001 1 5598.09 21.5196
258 10001 -1 25929.9 9.3893
259 10001 -1 7184.0 4.72907
260 10001 1 18310.8 65.736
261 10001 -1 6350.63 -20.3168
